"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert_signatureAlgorithm","aides-agri.beta.gouv.fr/5.104.101.30","443","OK","SHA256 with RSA","",""
"cert_keySize","aides-agri.beta.gouv.fr/5.104.101.30","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","aides-agri.beta.gouv.fr/5.104.101.30","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","aides-agri.beta.gouv.fr/5.104.101.30","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","aides-agri.beta.gouv.fr/5.104.101.30","443","INFO","05EB1924258D7B57FBFE08F4C5D5B2FA1C55","",""
"cert_serialNumberLen","aides-agri.beta.gouv.fr/5.104.101.30","443","INFO","18","",""
"cert_fingerprintSHA1","aides-agri.beta.gouv.fr/5.104.101.30","443","INFO","901712686483009AF58913DA3D05E5684B4198BC","",""
"cert_fingerprintSHA256","aides-agri.beta.gouv.fr/5.104.101.30","443","INFO","6A152ADE7DC832432F13924F40B2D7D872B9B476532C810CC82D56DD3487C1C7","",""
"cert","aides-agri.beta.gouv.fr/5.104.101.30","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFBzCCA++gAwIBAgISBesZJCWNe1f7/gj0xdWy+hxVMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNZUjEwHhcNMjYwOTExMTMwNzQ2WhcNMjYxMjEwMTMwNzQ1WjAiMSAwHgYDVQQDExdhaWRlcy1hZ3JpLmJldGEuZ291di5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAKJfYhtXzHYRgx7HeWiz4H/GoVjaH/o2cbZvsXJcVZWbHwIIO/nuBgm5TUNBbqy1f4f93dlGbRvNiutpjwMClDK81CnQbFisKEMyTVfvYG1oiZqsbaa3oFGuMNCBf4pHm0XjzaP9zSMZOdmc45tUJVKCyjtuho7cjNzPhpO5cN50vs1dyYCv+lzzDj237VayhYn50mHusYQ2WTOmy33HS4SZa8sZd3p5+o5lGtM/z7a5Etbvuh+6NbRklshuCX06md6QMMmgNg0FsYm9epihxZbqISXhaqc+V13Mk1180sQKnGN+GoqK2vV4Vr4kYY5MIXACysWaJhqZ/0Ey9PCW8aECAwEAAaOCAiQwggIgMA4GA1UdDwEB/wQEAwIFoDATBgNVHSUEDDAKBggrBgEFBQcDATAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBQi5VuyihDGS+sniap5DBWm2oHwXjAfBgNVHSMEGDAWgBQfLzW+RhSCzUCxrnksVXj699Ro+zAzBggrBgEFBQcBAQQnMCUwIwYIKwYBBQUHMAKGF2h0dHA6Ly95cjEuaS5sZW5jci5vcmcvMCIGA1UdEQQbMBmCF2FpZGVzLWFncmkuYmV0YS5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC4GA1UdHwQnMCUwI6AhoB+GHWh0dHA6Ly95cjEuYy5sZW5jci5vcmcvODYuY3JsMIIBCwYKKwYBBAHWeQIEAgSB/ASB+QD3AH4ARq+GPTs+5Z+ld96oJF02sNntIqIj9GF3QSKUUu6VUF8AAAGgkMpesAAIAAAFACtgkPEEAwBHMEUCIA15cgvg/ZWvX0gGxlB2n/qUU0O0QhSCE4rVSYJf/iVyAiEAighqSR82DsztwDbuLu16j+qKV8XEC9nrBlRLc7awvAEAdQDLOPcViXyEoURfW8Hd+8lu8ppZzUcKaQWFsMsUwxRY5wAAAaCQymWnAAAEAwBGMEQCIAJDMqd107fhQQN+1/NdWORjp8Lnk1CN3HZPSUMDKWaaAiBsQhJ7zr6VR2ZnllIm2Y57M+PBaKdO82bN3tr3tK79nzANBgkqhkiG9w0BAQsFAAOCAQEANY8EGI6indrSlpyN3ASHkVyuA4gCPrF5kjR5iXhGf+0LoFKrJ5FDRhd1lIuYYZ/YL8elongP43zbdFNZ3ezglH7f+l172glCupSN9onNB8LH3AuoFskXpOuab0CIvbjzqaJHOHLNpCpa9qwvYALkRjTy3GnOeYqJBEP4mGOF59POxaEsNQIklORC03ZFMl2PX+EUkN5BgENAuonwqUfJ/UZY1wK8KkJk7u/Y8xA2DQ1cBRsfG5KoORipBo6nXej72tVrD6Tl3fLf9xonteB97Iad0x5hKmAOB8YiTm+o6c4R2ox1bwuzS8gQLvjpDtW6rM18pKlakfHtYBljclwDzQ==\n-----END CERTIFICATE-----","",""
"cert_commonName","aides-agri.beta.gouv.fr/5.104.101.30","443","OK","aides-agri.beta.gouv.fr","",""
"cert_commonName_wo_SNI","aides-agri.beta.gouv.fr/5.104.101.30","443","INFO","*.osc-fr1.scalingo.io","",""
"cert_subjectAltName","aides-agri.beta.gouv.fr/5.104.101.30","443","INFO","aides-agri.beta.gouv.fr","",""
"cert_trust","aides-agri.beta.gouv.fr/5.104.101.30","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","aides-agri.beta.gouv.fr/5.104.101.30","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","aides-agri.beta.gouv.fr/5.104.101.30","443","OK","passed.","",""
"cert_certificatePolicies_EV","aides-agri.beta.gouv.fr/5.104.101.30","443","INFO","no","",""
"cert_expirationStatus","aides-agri.beta.gouv.fr/5.104.101.30","443","OK","86 >= 30 days","",""
"cert_notBefore","aides-agri.beta.gouv.fr/5.104.101.30","443","INFO","2026-09-11 13:07","",""
"cert_notAfter","aides-agri.beta.gouv.fr/5.104.101.30","443","OK","2026-12-10 13:07","",""
"cert_extlifeSpan","aides-agri.beta.gouv.fr/5.104.101.30","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","aides-agri.beta.gouv.fr/5.104.101.30","443","INFO","not present","",""
"cert_crlDistributionPoints","aides-agri.beta.gouv.fr/5.104.101.30","443","INFO","http://yr1.c.lencr.org/86.crl","",""
"cert_ocspURL","aides-agri.beta.gouv.fr/5.104.101.30","443","INFO","--","",""
"OCSP_stapling","aides-agri.beta.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"cert_mustStapleExtension","aides-agri.beta.gouv.fr/5.104.101.30","443","INFO","--","",""
"DNS_CAArecord","aides-agri.beta.gouv.fr/5.104.101.30","443","LOW","--","",""
