"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","zacharie.beta.gouv.fr/91.208.207.217","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFBTCCA+2gAwIBAgISBcX1J4HtvpwbkucCgQw+HMK8MA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTEwHhcNMjUwNTI0MDAyMzAzWhcNMjUwODIyMDAyMzAyWjAgMR4wHAYDVQQDExV6YWNoYXJpZS5iZXRhLmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQCZ/wiqlKN1121RKNZjoynA0SglyRdtl0l/zwUu2Uj5nPmebqRPZ9VdfufFTDI/8nnnQl+81SMEvOkIK0+GuEqwIcMwD9UFguqSeS2gvjvm8tcm5NhIx7O0F53lCT+hkmFV7kIaEYoshtcyabvbF8zWm/h9GtYYHnGs7gxlMNDcezvx+aOFomcAe7Jdi01+7iUNPDx0rw4v67D/cApk4PklGqHTtlJOZrTKP05D/eswTTOmb5cpWf8aUGBMWNb6d2vDcBpT8MOFFaIDCN21CE9lN2ly1mjcJDhgUpjkhV7tb31oXfFPxb0RwBXjR34GyJk5GiSFCjSOKpSOGEJoyExBAgMBAAGjggIkMIICIDAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFKt0ZTxqcN0z5+usDUnFx7MmbFSiMB8GA1UdIwQYMBaAFMXPRqTq9MPAemyVxC2wXpIvJuO5MDMGCCsGAQUFBwEBBCcwJTAjBggrBgEFBQcwAoYXaHR0cDovL3IxMS5pLmxlbmNyLm9yZy8wIAYDVR0RBBkwF4IVemFjaGFyaWUuYmV0YS5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC4GA1UdHwQnMCUwI6AhoB+GHWh0dHA6Ly9yMTEuYy5sZW5jci5vcmcvNjEuY3JsMIIBAwYKKwYBBAHWeQIEAgSB9ASB8QDvAHYAEvFONL1TckyEBhnDjz96E/jntWKHiJxtMAWE6+WGJjoAAAGW/+GMUgAABAMARzBFAiBFpRjvqtjMtZVcbxm74pp5KYPcWBD9M6buJQf5yrnwUAIhAJR1eRIa6uko7e4TKKpItWrw01xtOLUas+nhgYSfVYG0AHUAzPsPaoVxCWX+lZtTzumyfCLphVwNl422qX5UwP5MDbAAAAGW/+GMvwAABAMARjBEAiAlLV/ssbL6FWBJHS2FKFbSFFxIIwD5VLGwebkxiaSHmAIgZQSpkxxQ/bGivB534aSntJoo5IQD/DtNuanrHDjt+LowDQYJKoZIhvcNAQELBQADggEBAJKKdpmutjW+dhYx0sCfU+iwtAntbbyV9DTTOV8pKY/LSA0hlZ36+1Wmg2+IV6EMU95YQ0N75BfwM1lC9/1pncN6E1GdQtSDS26GHeov9xc95ef+nb7m8ue52bSmjqBTQayAeZFd3n+ZJxfvPyulWrzQkRdO1I6XOKRavUymK8mOuFyU1Sc8lnH0dwSyCVUivy1eDpHeLR12ZTD7BS+d7px7jGh8r/W9L4clJ4FWGpw5kRno0V9TBi+0aDm+VWOfxZcKTi3oY28nu19bzDdEoKAvCO6WrW6kTg1Efdk/Bxrl1RI/3OqW1l+luUr6rFvYymW6k3lSO32AKr0y7EY85es=\n-----END CERTIFICATE-----","",""
"cert_commonName","zacharie.beta.gouv.fr/91.208.207.217","443","OK","zacharie.beta.gouv.fr","",""
"cert_commonName_wo_SNI","zacharie.beta.gouv.fr/91.208.207.217","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName","zacharie.beta.gouv.fr/91.208.207.217","443","INFO","zacharie.beta.gouv.fr","",""
"cert_trust","zacharie.beta.gouv.fr/91.208.207.217","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","zacharie.beta.gouv.fr/91.208.207.217","443","OK","passed.","",""
"cert_certificatePolicies_EV","zacharie.beta.gouv.fr/91.208.207.217","443","INFO","no","",""
"cert_expirationStatus","zacharie.beta.gouv.fr/91.208.207.217","443","OK","53 >= 30 days","",""
"cert_notBefore","zacharie.beta.gouv.fr/91.208.207.217","443","INFO","2025-05-24 00:23","",""
"cert_notAfter","zacharie.beta.gouv.fr/91.208.207.217","443","OK","2025-08-22 00:23","",""
"cert_extlifeSpan","zacharie.beta.gouv.fr/91.208.207.217","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","zacharie.beta.gouv.fr/91.208.207.217","443","INFO","not present","",""
"cert_crlDistributionPoints","zacharie.beta.gouv.fr/91.208.207.217","443","INFO","http://r11.c.lencr.org/61.crl","",""
"cert_ocspURL","zacharie.beta.gouv.fr/91.208.207.217","443","INFO","--","",""
"OCSP_stapling","zacharie.beta.gouv.fr/91.208.207.217","443","INFO","not offered","",""
"cert_mustStapleExtension","zacharie.beta.gouv.fr/91.208.207.217","443","INFO","--","",""
"DNS_CAArecord","zacharie.beta.gouv.fr/91.208.207.217","443","LOW","--","",""
"certificate_transparency","zacharie.beta.gouv.fr/91.208.207.217","443","OK","yes (certificate extension)","",""
"certs_countServer","zacharie.beta.gouv.fr/91.208.207.217","443","INFO","2","",""
"certs_list_ordering_problem","zacharie.beta.gouv.fr/91.208.207.217","443","INFO","no","",""
"cert_caIssuers","zacharie.beta.gouv.fr/91.208.207.217","443","INFO","R11 (Let's Encrypt from US)","",""
