"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","agreste.beta.gouv.fr/148.253.75.120","443","INFO","HTTP","",""
"pre_128cipher","agreste.beta.gouv.fr/148.253.75.120","443","INFO","No 128 cipher limit bug","",""
"SSLv2","agreste.beta.gouv.fr/148.253.75.120","443","OK","not offered","",""
"SSLv3","agreste.beta.gouv.fr/148.253.75.120","443","OK","not offered","",""
"TLS1","agreste.beta.gouv.fr/148.253.75.120","443","INFO","not offered","",""
"TLS1_1","agreste.beta.gouv.fr/148.253.75.120","443","INFO","not offered","",""
"TLS1_2","agreste.beta.gouv.fr/148.253.75.120","443","OK","offered","",""
"TLS1_3","agreste.beta.gouv.fr/148.253.75.120","443","OK","offered with final","",""
"ALPN_HTTP2","agreste.beta.gouv.fr/148.253.75.120","443","OK","h2","",""
"ALPN","agreste.beta.gouv.fr/148.253.75.120","443","INFO","http/1.1","",""
"cipherlist_NULL","agreste.beta.gouv.fr/148.253.75.120","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","agreste.beta.gouv.fr/148.253.75.120","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","agreste.beta.gouv.fr/148.253.75.120","443","OK","not offered","","CWE-327"
"cipherlist_LOW","agreste.beta.gouv.fr/148.253.75.120","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","agreste.beta.gouv.fr/148.253.75.120","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","agreste.beta.gouv.fr/148.253.75.120","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","agreste.beta.gouv.fr/148.253.75.120","443","INFO","not offered","",""
"cipherlist_STRONG_FS","agreste.beta.gouv.fr/148.253.75.120","443","OK","offered","",""
"cipher_order-tls1_2","agreste.beta.gouv.fr/148.253.75.120","443","OK","server","",""
"cipherorder_TLSv1_2","agreste.beta.gouv.fr/148.253.75.120","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","agreste.beta.gouv.fr/148.253.75.120","443","OK","server","",""
"FS","agreste.beta.gouv.fr/148.253.75.120","443","OK","offered","",""
"FS_ciphers","agreste.beta.gouv.fr/148.253.75.120","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","agreste.beta.gouv.fr/148.253.75.120","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","agreste.beta.gouv.fr/148.253.75.120","443","OK","prime256v1 secp384r1 secp521r1","",""
